method,precision,stdlib,tag,kappa,shape_a,n_seeds,n_attempted,n_nonfinite,rate,ci_lo,ci_hi,is_upper_bound,x2_zero,max_finite_log_component
QF_replica,float,libstdc++,libstdcxx,0.55,0.050000011920928955,5,5000000,61250,0.01225,0.012153765274764515,0.012346800181027906,false,28673,44.04927002384617
QF_replica,float,libstdc++,libstdcxx,0.6,0.10000002384185791,5,5000000,728,0.0001456,0.00013521483094956923,0.00015657108499395265,false,165,44.07493235893785
QF_replica,float,libstdc++,libstdcxx,0.75,0.25,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,29.623208936736575
QF_replica,float,libstdc++,libstdcxx,1,0.5,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,15.507653078223878
QF_replica,float,libstdc++,libstdcxx,1.5,1.0,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,7.864040350464694
QF_replica,float,libstdc++,libstdcxx,2,1.5,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,5.380650938084376
QF_replica,float,libstdc++,libstdcxx,5,4.5,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,2.5076178604891153
QF_replica,float,libstdc++,libstdcxx-contractfast,0.5001,0.00010001659393310547,5,5000000,4955973,0.9911946,0.9911123275292386,0.9912763028828665,false,4948353,44.0015525303856
QF_replica,float,libstdc++,libstdcxx-contractfast,0.501,0.0009999871253967285,5,5000000,4578144,0.9156288,0.9153848353475238,0.915872283207729,false,4509009,44.009592561534596
QF_replica,float,libstdc++,libstdcxx-contractfast,0.505,0.004999995231628418,5,5000000,3219257,0.6438514,0.6434314853309595,0.6442711480764284,false,2984047,44.01507427400313
QF_replica,float,libstdc++,libstdcxx-contractfast,0.51,0.009999990463256836,5,5000000,2072626,0.4145252,0.4140933396305225,0.4149571593559582,false,1778798,44.019376822927995
QF_replica,float,libstdc++,libstdcxx-contractfast,0.55,0.050000011920928955,5,5000000,61249,0.0122498,0.01215356605220278,0.012346599403827898,false,28672,44.04927002384617
QF_replica,float,libstdc++,libstdcxx-contractfast,0.6,0.10000002384185791,5,5000000,728,0.0001456,0.00013521483094956923,0.00015657108499395265,false,165,44.07493227955989
QF_replica,float,libstdc++,libstdcxx-contractfast,0.75,0.25,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,29.623208793714273
QF_replica,float,libstdc++,libstdcxx-contractfast,1,0.5,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,15.50765289409925
QF_replica,float,libstdc++,libstdcxx-contractfast,1.5,1.0,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,7.864038286254818
QF_replica,float,libstdc++,libstdcxx-contractfast,2,1.5,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,5.3806497435951455
QF_replica,float,libstdc++,libstdcxx-contractfast,5,4.5,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,2.5076178604891153
SPLIT_released,double,libc++,libcxx,0.5001,9.999999999998899e-05,5,5000000,4641522,0.9283044,0.9280779237937282,0.9285303800578198,false,NA,372.7467923242993
SPLIT_released,double,libc++,libcxx,0.501,0.0010000000000000009,5,5000000,2375531,0.4751062,0.4746683967691715,0.4755440320596814,false,NA,373.0684766024695
SPLIT_released,double,libc++,libcxx,0.505,0.0050000000000000044,5,5000000,121098,0.0242196,0.02408502745726065,0.024354723906515992,false,NA,372.8535874370475
SPLIT_released,double,libc++,libcxx,0.51,0.010000000000000009,5,5000000,2932,0.0005864,0.0005653703472055741,0.0006080114418922518,false,NA,372.6793916973732
SPLIT_released,double,libc++,libcxx,0.55,0.050000000000000044,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,177.23334014197187
SPLIT_released,double,libc++,libcxx,0.6,0.09999999999999998,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,88.6789788603389
SPLIT_released,double,libc++,libcxx,0.75,0.25,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,35.631830453919214
SPLIT_released,double,libc++,libcxx,1,0.5,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,18.056098096119513
SPLIT_released,double,libc++,libcxx,1.5,1.0,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,9.45679392348213
SPLIT_released,double,libc++,libcxx,2,1.5,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,5.917511729057145
SPLIT_released,double,libc++,libcxx,5,4.5,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,2.534880239761642
SPLIT_released,double,libstdc++,libstdcxx,0.5001,9.999999999998899e-05,5,5000000,4640915,0.928183,0.9279563472963979,0.9284091566960098,false,NA,372.8735523040696
SPLIT_released,double,libstdc++,libstdcxx,0.501,0.0010000000000000009,5,5000000,2374666,0.4749332,0.4744954044547727,0.4753710245744077,false,NA,372.73852503602126
SPLIT_released,double,libstdc++,libstdcxx,0.505,0.0050000000000000044,5,5000000,121373,0.0242746,0.02413987831511247,0.02440987298432759,false,NA,372.85145084190634
SPLIT_released,double,libstdc++,libstdcxx,0.51,0.010000000000000009,5,5000000,2811,0.0005622,0.0005416125846657065,0.0005833693091858412,false,NA,372.5136946956806
SPLIT_released,double,libstdc++,libstdcxx,0.55,0.050000000000000044,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,160.32946775125652
SPLIT_released,double,libstdc++,libstdcxx,0.6,0.09999999999999998,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,80.91957191750878
SPLIT_released,double,libstdc++,libstdcxx,0.75,0.25,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,33.13078063122897
SPLIT_released,double,libstdc++,libstdcxx,1,0.5,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,17.061745991234513
SPLIT_released,double,libstdc++,libstdcxx,1.5,1.0,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,7.445947817876224
SPLIT_released,double,libstdc++,libstdcxx,2,1.5,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,5.2983460411245
SPLIT_released,double,libstdc++,libstdcxx,5,4.5,5,5000000,0,0.0,0.0,5.991462752596988e-07,true,NA,2.268820160596951
SPLIT_released,float,libc++,libcxx,0.5001,0.00010001659393310547,5,5000000,4948283,0.9896566,0.9895675335718813,0.9897450986939944,false,NA,52.254972043241246
SPLIT_released,float,libc++,libcxx,0.501,0.0009999871253967285,5,5000000,4508852,0.9017704,0.9015091924326459,0.9020311421922659,false,NA,52.27808899054067
