scope,tag,case,method,precision,kappa,cap,attempts_1,attempts_2,attempts_per_return,block,block_order,cap_rejects,cap_rejects_per_return,engine_calls,engine_calls_1,engine_calls_2,engine_calls_per_return,gamma_variates,gamma_variates_per_return,iqr_ratio,iqr_seconds_per_attempt,iqr_seconds_per_return,log_primitive,median_seconds_per_attempt,median_seconds_per_return,median_time_per_return_ratio,n_attempted,n_blocks,n_finite,n_returned,ratio_ci_hi,ratio_ci_lo,repeat_identical,seconds,seconds_per_attempt,seconds_per_return,total_attempts,total_returned,uniform_variates,uniform_variates_per_return
block,libcxx,B0,SPLIT,double,0.51,NA,NA,NA,1.0,7,1,0,NA,383548660,NA,NA,NA,49421958,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,24710979,NA,24696547,24710979,NA,NA,NA,2.30209454,9.316079868790307e-08,9.316079868790307e-08,NA,NA,49421958,NA
block,libcxx,B0,SPLIT,double,0.51,NA,NA,NA,1.0,8,0,0,NA,383540436,NA,NA,NA,49421958,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,24710979,NA,24696302,24710979,NA,NA,NA,2.30633037,9.333221358813829e-08,9.333221358813829e-08,NA,NA,49421958,NA
block,libcxx,B0,SPLIT,double,0.51,NA,NA,NA,1.0,9,1,0,NA,383478040,NA,NA,NA,49421958,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,24710979,NA,24696641,24710979,NA,NA,NA,2.31015,9.348678577242934e-08,9.348678577242934e-08,NA,NA,49421958,NA
summary,libcxx,B0,SPLIT,double,0.51,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,15.52014917741624,NA,2.0,NA,1.6455651150041222e-10,1.6455651150041222e-10,LOG-PUB,9.312661529921578e-08,9.312661529921578e-08,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,247109790,247109790,NA,2.0
block,libcxx,B1,LOG,float,0.55,NA,NA,NA,1.0,0,1,0,NA,205014232,NA,NA,NA,26140697,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,26140697,NA,26137127,26140697,NA,NA,NA,2.31173004,8.84341393039367e-08,8.84341393039367e-08,NA,NA,107025624,NA
block,libcxx,B1,LOG,float,0.55,NA,NA,NA,1.0,1,0,0,NA,205019224,NA,NA,NA,26140697,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,26140697,NA,26137065,26140697,NA,NA,NA,2.3102315,8.837681336499941e-08,8.837681336499941e-08,NA,NA,107024250,NA
block,libcxx,B1,LOG,float,0.55,NA,NA,NA,1.0,2,1,0,NA,205015600,NA,NA,NA,26140697,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,26140697,NA,26136969,26140697,NA,NA,NA,2.31822029,8.868242074800071e-08,8.868242074800071e-08,NA,NA,107026570,NA
block,libcxx,B1,LOG,float,0.55,NA,NA,NA,1.0,3,0,0,NA,205020758,NA,NA,NA,26140697,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,26140697,NA,26137165,26140697,NA,NA,NA,2.30787704,8.828674461128563e-08,8.828674461128563e-08,NA,NA,107028056,NA
block,libcxx,B1,LOG,float,0.55,NA,NA,NA,1.0,4,1,0,NA,205020720,NA,NA,NA,26140697,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,26140697,NA,26137072,26140697,NA,NA,NA,2.31189379,8.844040348273805e-08,8.844040348273805e-08,NA,NA,107026882,NA
block,libcxx,B1,LOG,float,0.55,NA,NA,NA,1.0,5,0,0,NA,205012048,NA,NA,NA,26140697,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,26140697,NA,26137193,26140697,NA,NA,NA,2.31519329,8.856662429467738e-08,8.856662429467738e-08,NA,NA,107025820,NA
