method,precision,tag,kappa,shape_a,transform,null_cdf,ecdf_residual,null_cdf_z_orientation,ecdf_residual_z_orientation,band_lo,band_hi,n,resolved_fraction
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,4.875250266822562e-07,1.1791416399844105e-06,4.875250266822562e-07,1.1791416399844105e-06,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.0031942316674740123,0.00015076833252598756,0.0031942316674740123,0.00015076833252598756,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.00667138256205102,1.861743794897945e-05,0.00667138256205102,1.861743794897945e-05,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.009953587089879479,8.14129101205218e-05,0.009953587089879479,8.14129101205218e-05,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.013315081958102715,6.325137523061942e-05,0.013315081958102715,6.325137523061942e-05,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.016598137335243627,0.0001251959980897062,0.016598137335243627,0.0001251959980897062,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.019972577760047905,9.5755573285429e-05,0.019972577760047905,9.5755573285429e-05,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.023393192278895136,1.8474387771531126e-05,0.023393192278895136,1.8474387771531126e-05,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.026779211334007402,-2.2544667340734098e-05,0.026779211334007402,-2.2544667340734098e-05,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.03015435138512116,-5.268471845449457e-05,0.03015435138512116,-5.268471845449457e-05,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.03361466244874155,-0.0001696624487415449,0.03361466244874155,-0.0001696624487415449,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.0369136052241868,-0.00012360522418679992,0.0369136052241868,-0.00012360522418679992,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.0402959694315588,-0.0001609694315587995,0.0402959694315588,-0.0001609694315587995,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.0436695196099245,-0.0001911862765911626,0.0436695196099245,-0.0001911862765911626,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.04700086477126092,-0.0001775314379275847,0.04700086477126092,-0.0001775314379275847,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.05037031377653342,-0.00020198044320008518,0.05037031377653342,-0.00020198044320008518,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.05388027887551919,-0.0003686122088525229,0.05388027887551919,-0.0003686122088525229,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.057258737604107046,-0.0004020709374403797,0.057258737604107046,-0.0004020709374403797,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.0606552613999827,-0.0004535947333160345,0.0606552613999827,-0.0004535947333160345,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.06406293348161307,-0.0005162668149464034,0.06406293348161307,-0.0005162668149464034,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.06738090521423479,-0.0004909052142347825,0.06738090521423479,-0.0004909052142347825,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.07073782987143959,-0.0005028298714395835,0.07073782987143959,-0.0005028298714395835,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.07399319924626079,-0.00041319924626077864,0.07399319924626079,-0.00041319924626077864,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.07737410479443678,-0.0004507714611034497,0.07737410479443678,-0.0004507714611034497,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.08067765321566465,-0.0004093198823313243,0.08067765321566465,-0.0004093198823313243,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.08395499525858724,-0.00034166192525390826,0.08395499525858724,-0.00034166192525390826,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.08741110462671123,-0.0004544379600445597,0.08741110462671123,-0.0004544379600445597,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.09077115172969889,-0.0004694850630322239,0.09077115172969889,-0.0004694850630322239,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.09409524737110822,-0.00044858070444155074,0.09409524737110822,-0.00044858070444155074,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.0975173543434335,-0.0005273543434334976,0.0975173543434335,-0.0005273543434334976,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.10083403391867189,-0.0004990339186718984,0.10083403391867189,-0.0004990339186718984,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.10420460767815783,-0.0005246076781578318,0.10420460767815783,-0.0005246076781578318,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.10741655709748625,-0.0003932237641529196,0.10741655709748625,-0.0003932237641529196,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.11084578004367529,-0.0004774467103419583,0.11084578004367529,-0.0004774467103419583,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.11426335885350872,-0.0005500255201753845,0.11426335885350872,-0.0005500255201753845,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.11758011610244935,-0.000523449435782683,0.11758011610244935,-0.000523449435782683,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.12098815482632809,-0.0005864881596614191,0.12098815482632809,-0.0005864881596614191,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.12425542146093065,-0.0005087547942639742,0.12425542146093065,-0.0005087547942639742,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.12761287050069994,-0.0005212038340332847,0.12761287050069994,-0.0005212038340332847,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.13100461206357528,-0.000569612063575281,0.13100461206357528,-0.000569612063575281,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.13434295144741773,-0.00056295144741772,0.13434295144741773,-0.00056295144741772,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.1376323569887386,-0.0005073569887386054,0.1376323569887386,-0.0005073569887386054,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.14096666710058456,-0.0004983337672512245,0.14096666710058456,-0.0004983337672512245,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.14418729846159342,-0.00037396512826010087,0.14418729846159342,-0.00037396512826010087,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.1474961350196673,-0.00033780168633396057,0.1474961350196673,-0.00033780168633396057,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.15081504699706685,-0.00031338033040018143,0.15081504699706685,-0.00031338033040018143,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.1541726786435621,-0.0003260119768954406,0.1541726786435621,-0.0003260119768954406,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.15766211360795823,-0.00047044694129155795,0.15766211360795823,-0.00047044694129155795,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.1609867588384026,-0.0004517588384025939,0.1609867588384026,-0.0004517588384025939,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.16429376655165773,-0.00041376655165772935,0.16429376655165773,-0.00041376655165772935,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.16758086665315022,-0.0003558666531502108,0.16758086665315022,-0.0003558666531502108,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.17097493412149284,-0.00040660078815951683,0.17097493412149284,-0.00040660078815951683,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.1743052245739785,-0.0003918912406451758,0.1743052245739785,-0.0003918912406451758,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.1776850564319193,-0.00042672309858599045,0.1776850564319193,-0.00042672309858599045,-0.002101253071889096,0.002101253071889096,600000,1.0
LOG-ID,double,libcxx,0.501,0.0010000000000000009,Z,0.18102536956536341,-0.00042203623203007634,0.18102536956536341,-0.00042203623203007634,-0.002101253071889096,0.002101253071889096,600000,1.0
