tag,precision,kappa,shape_a,method,bin_kind,bin_hi,bin_lo,n_in_bin,n_success,success_rate,ci_lo,ci_hi,is_upper_bound,merged,n_seeds,n_total
libcxx,double,0.501,0.0010000000000000009,LOG,log_radius,602.1945230067989,458.49776915001064,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.501,0.0010000000000000009,SPLIT,log_radius,804.5538615456039,602.1945230067989,500000,0,0.0,0.0,5.991446598296868e-06,true,false,5,5000000
libcxx,double,0.501,0.0010000000000000009,LOG,log_radius,804.5538615456039,602.1945230067989,500000,292359,0.584718,0.5833506470776229,0.5860843711732714,false,false,5,5000000
libcxx,double,0.501,0.0010000000000000009,SPLIT,log_radius,1151.3697664300873,804.5538615456039,500000,0,0.0,0.0,5.991446598296868e-06,true,false,5,5000000
libcxx,double,0.501,0.0010000000000000009,LOG,log_radius,1151.3697664300873,804.5538615456039,500000,0,0.0,0.0,5.991446598296868e-06,true,false,5,5000000
libcxx,double,0.501,0.0010000000000000009,SPLIT,log_radius,7602.566581872168,1151.3697664300873,500000,0,0.0,0.0,5.991446598296868e-06,true,false,5,5000000
libcxx,double,0.501,0.0010000000000000009,LOG,log_radius,7602.566581872168,1151.3697664300873,500000,0,0.0,0.0,5.991446598296868e-06,true,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,SPLIT,target_upper_tail_q,1.0,0.5,2499920,2499920,1.0,0.9999985244020879,1.0,false,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,LOG,target_upper_tail_q,1.0,0.5,2499920,2499920,1.0,0.9999985244020879,1.0,false,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,QF,target_upper_tail_q,1.0,0.5,2499920,2499920,1.0,0.9999985244020879,1.0,false,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,SPLIT,target_upper_tail_q,0.5,0.1,2000405,2000405,1.0,0.9999981559353966,1.0,false,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,LOG,target_upper_tail_q,0.5,0.1,2000405,2000405,1.0,0.9999981559353966,1.0,false,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,QF,target_upper_tail_q,0.5,0.1,2000405,2000405,1.0,0.9999981559353966,1.0,false,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,SPLIT,target_upper_tail_q,0.1,0.01,449806,379180,0.842985642699297,0.8419191219283371,0.8440477434360676,false,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,LOG,target_upper_tail_q,0.1,0.01,449806,449806,1.0,0.9999917989881686,1.0,false,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,QF,target_upper_tail_q,0.1,0.01,449806,355914,0.7912611214612522,0.7900704622640405,0.7924480277394174,false,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,SPLIT,target_upper_tail_q,0.01,0.001,44937,0,0.0,0.0,6.666293745216656e-05,true,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,LOG,target_upper_tail_q,0.01,0.001,44937,44937,1.0,0.9999179133442786,1.0,false,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,QF,target_upper_tail_q,0.01,0.001,44937,0,0.0,0.0,6.666293745216656e-05,true,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,SPLIT,target_upper_tail_q,0.001,0.0001,4394,0,0.0,0.0,0.0006815455834099371,true,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,LOG,target_upper_tail_q,0.001,0.0001,4394,865,0.19685935366408738,0.1851931536635074,0.20892987810646244,false,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,QF,target_upper_tail_q,0.001,0.0001,4394,0,0.0,0.0,0.0006815455834099371,true,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,SPLIT,target_upper_tail_q,0.0001,1e-05,479,0,0.0,0.0,0.006234621942166618,true,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,LOG,target_upper_tail_q,0.0001,1e-05,479,0,0.0,0.0,0.006234621942166618,true,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,QF,target_upper_tail_q,0.0001,1e-05,479,0,0.0,0.0,0.006234621942166618,true,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,SPLIT,target_upper_tail_q,1e-05,0.0,59,0,0.0,0.0,0.04950760988822689,true,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,LOG,target_upper_tail_q,1e-05,0.0,59,0,0.0,0.0,0.04950760988822689,true,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,QF,target_upper_tail_q,1e-05,0.0,59,0,0.0,0.0,0.04950760988822689,true,false,5,5000000
libcxx,double,0.505,0.0050000000000000044,SPLIT,log_radius,10.844170195499023,-2.9618301463329724,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
