phase,scope,layer,method,precision,stdlib,kappa,shape_a,n_seeds,n_attempted,n_finite,n_failed,n_avoidable,n_honest_overflow,cat_finite,cat_denominator_zero,cat_quotient_first_loss,cat_split_form_loss,cat_log_primitive_failure,cat_honest_overflow,cat_cap_reject,cat_cap_exhausted,failure_rate,failure_ci_lo,failure_ci_hi,failure_is_upper_bound,avoidable_rate,avoidable_ci_lo,avoidable_ci_hi,avoidable_is_upper_bound,honest_rate,honest_ci_lo,honest_ci_hi,honest_is_upper_bound,accounting_ok,honest_floor_count,honest_floor_rate,honest_floor_ci_lo,honest_floor_ci_hi,honest_floor_is_upper_bound,near_limit_band_count,honest_minus_floor,within_boundary_band,x2_zero,x2_subnormal,rotation_recoverable,mean_abs_rel_err_log_vs_split,seconds,audit_near_limit_total,audit_near_limit_audited,audit_method_disagreement_total,audit_method_disagreement_audited,audit_subnormal_denominator_total,audit_subnormal_denominator_audited,audit_bulk_failure_total,audit_bulk_failure_audited,audit_uniform_sample_total,audit_uniform_sample_audited,arch,available,completed,reason_not_run,tag,case,out_of_domain
E2,pooled,native,SPLIT,double,libstdc++,0.501,0.0010000000000000009,5,5000000,2625334,2374666,2374666,0,2625334,2374666,0,0,0,0,0,0,0.4749332,0.4744954044547727,0.4753710245744077,false,0.4749332,0.4744954044547727,0.4753710245744077,false,0.0,0.0,5.991462752596988e-07,true,true,0,0.0,0.0,5.991462752596988e-07,true,0,0,true,2374666,88311,0,NA,0.440747,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
E2,pooled,native,LOG,double,libc++,0.505,0.0050000000000000044,5,5000000,4995896,4104,0,4104,4995896,0,0,0,0,4104,0,0,0.0008208,0.000795887777481859,0.0008462931822062846,false,0.0,0.0,5.991462752596988e-07,true,0.0008208,0.000795887777481859,0.0008462931822062846,false,true,0,0.0,0.0,5.991462752596988e-07,true,0,4104,false,121058,0,0,NA,0.619128,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
E2,pooled,native,LOG,double,libstdc++,0.505,0.0050000000000000044,5,5000000,4995998,4002,0,4002,4995998,0,0,0,0,4002,0,0,0.0008004,0.0007758014421027084,0.0008255795798195712,false,0.0,0.0,5.991462752596988e-07,true,0.0008004,0.0007758014421027084,0.0008255795798195712,false,true,0,0.0,0.0,5.991462752596988e-07,true,0,4002,false,120328,0,0,NA,0.455016,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
E2,pooled,native,QF,double,libc++,0.505,0.0050000000000000044,5,5000000,4855626,144374,144374,0,4855626,121098,23276,0,0,0,0,0,0.0288748,0.028728195108378284,0.02902195081666804,false,0.0288748,0.028728195108378284,0.02902195081666804,false,0.0,0.0,5.991462752596988e-07,true,true,0,0.0,0.0,5.991462752596988e-07,true,0,0,true,121098,24288,0,NA,0.510883,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
E2,pooled,native,QF,double,libstdc++,0.505,0.0050000000000000044,5,5000000,4855368,144632,144632,0,4855368,121373,23259,0,0,0,0,0,0.0289264,0.02877966789222652,0.029073677972600537,false,0.0289264,0.02877966789222652,0.029073677972600537,false,0.0,0.0,5.991462752596988e-07,true,true,0,0.0,0.0,5.991462752596988e-07,true,0,0,true,121373,24287,0,NA,0.404597,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
E2,pooled,native,SPLIT,double,libc++,0.505,0.0050000000000000044,5,5000000,4878902,121098,121098,0,4878902,121098,0,0,0,0,0,0,0.0242196,0.02408502745726065,0.024354723906515992,false,0.0242196,0.02408502745726065,0.024354723906515992,false,0.0,0.0,5.991462752596988e-07,true,true,0,0.0,0.0,5.991462752596988e-07,true,0,0,true,121098,24288,0,NA,0.507903,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
E2,pooled,native,SPLIT,double,libstdc++,0.505,0.0050000000000000044,5,5000000,4878627,121373,121373,0,4878627,121373,0,0,0,0,0,0,0.0242746,0.02413987831511247,0.02440987298432759,false,0.0242746,0.02413987831511247,0.02440987298432759,false,0.0,0.0,5.991462752596988e-07,true,true,0,0.0,0.0,5.991462752596988e-07,true,0,0,true,121373,24287,0,NA,0.40358700000000003,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
E2,pooled,native,LOG,double,libc++,0.51,0.010000000000000009,5,5000000,4999994,6,0,6,4999994,0,0,0,0,6,0,0,1.2e-06,4.4037897392089116e-07,2.6118929606437516e-06,false,0.0,0.0,5.991462752596988e-07,true,1.2e-06,4.4037897392089116e-07,2.6118929606437516e-06,false,true,0,0.0,0.0,5.991462752596988e-07,true,0,6,false,2922,0,0,NA,0.618823,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
E2,pooled,native,LOG,double,libstdc++,0.51,0.010000000000000009,5,5000000,5000000,0,0,0,5000000,0,0,0,0,0,0,0,0.0,0.0,5.991462752596988e-07,true,0.0,0.0,5.991462752596988e-07,true,0.0,0.0,5.991462752596988e-07,true,true,0,0.0,0.0,5.991462752596988e-07,true,0,0,true,2808,0,0,NA,0.45779600000000004,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
E2,pooled,native,QF,double,libc++,0.51,0.010000000000000009,5,5000000,4995859,4141,4141,0,4995859,2932,1209,0,0,0,0,0,0.0008282,0.0008031749646620459,0.0008538059728040642,false,0.0008282,0.0008031749646620459,0.0008538059728040642,false,0.0,0.0,5.991462752596988e-07,true,true,0,0.0,0.0,5.991462752596988e-07,true,0,0,true,2932,1258,0,NA,0.509381,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
