phase,scope,layer,method,precision,stdlib,kappa,shape_a,n_seeds,n_attempted,n_finite,n_failed,n_avoidable,n_honest_overflow,cat_finite,cat_denominator_zero,cat_quotient_first_loss,cat_split_form_loss,cat_log_primitive_failure,cat_honest_overflow,cat_cap_reject,cat_cap_exhausted,failure_rate,failure_ci_lo,failure_ci_hi,failure_is_upper_bound,avoidable_rate,avoidable_ci_lo,avoidable_ci_hi,avoidable_is_upper_bound,honest_rate,honest_ci_lo,honest_ci_hi,honest_is_upper_bound,accounting_ok,honest_floor_count,honest_floor_rate,honest_floor_ci_lo,honest_floor_ci_hi,honest_floor_is_upper_bound,near_limit_band_count,honest_minus_floor,within_boundary_band,x2_zero,x2_subnormal,rotation_recoverable,mean_abs_rel_err_log_vs_split,seconds,audit_near_limit_total,audit_near_limit_audited,audit_method_disagreement_total,audit_method_disagreement_audited,audit_subnormal_denominator_total,audit_subnormal_denominator_audited,audit_bulk_failure_total,audit_bulk_failure_audited,audit_uniform_sample_total,audit_uniform_sample_audited,arch,available,completed,reason_not_run,seed,tag,case,out_of_domain
E5,pooled,native_scalar,LOG,double,libc++,0.5001,9.999999999998899e-05,5,5000000,661661,4338339,0,4338339,661661,0,0,0,0,4338339,0,0,0.8676678,0.8673704760608677,0.8679646980917886,false,0.0,0.0,5.991462752596988e-07,true,0.8676678,0.8673704760608677,0.8679646980917886,false,true,0,0.0,0.0,5.991462752596988e-07,true,0,4338339,false,4641525,0,0,NA,0.569786,0,0,0,0,0,0,0,0,0,0,arm64,true,true,NA,NA,NA,NA,NA
E5,pooled,native_scalar,LOG,double,libstdc++,0.5001,9.999999999998899e-05,5,5000000,662762,4337238,0,4337238,662762,0,0,0,0,4337238,0,0,0.8674476,0.867150066901021,0.8677447075068134,false,0.0,0.0,5.991462752596988e-07,true,0.8674476,0.867150066901021,0.8677447075068134,false,true,0,0.0,0.0,5.991462752596988e-07,true,0,4337238,false,4640986,0,0,NA,0.400039,0,0,0,0,0,0,0,0,0,0,arm64,true,true,NA,NA,NA,NA,NA
E5,pooled,native_scalar,QF,double,libc++,0.5001,9.999999999998899e-05,5,5000000,341952,4658048,4658048,0,341952,4641522,16526,0,0,0,0,0,0.9316096,0.9313880028516104,0.9318306971647269,false,0.9316096,0.9313880028516104,0.9318306971647269,false,0.0,0.0,5.991462752596988e-07,true,true,0,0.0,0.0,5.991462752596988e-07,true,0,0,true,4641522,17179,0,NA,0.464756,0,0,0,0,0,0,0,0,0,0,arm64,true,true,NA,NA,NA,NA,NA
E5,pooled,native_scalar,QF,double,libstdc++,0.5001,9.999999999998899e-05,5,5000000,342431,4657569,4657569,0,342431,4640915,16654,0,0,0,0,0,0.9315138,0.931292059386106,0.9317350407413998,false,0.9315138,0.931292059386106,0.9317350407413998,false,0.0,0.0,5.991462752596988e-07,true,true,0,0.0,0.0,5.991462752596988e-07,true,0,0,true,4640915,17324,0,NA,0.365867,0,0,0,0,0,0,0,0,0,0,arm64,true,true,NA,NA,NA,NA,NA
E5,pooled,native_scalar,SPLIT,double,libc++,0.5001,9.999999999998899e-05,5,5000000,358478,4641522,4641522,0,358478,4641522,0,0,0,0,0,0,0.9283044,0.9280779237937282,0.9285303800578198,false,0.9283044,0.9280779237937282,0.9285303800578198,false,0.0,0.0,5.991462752596988e-07,true,true,0,0.0,0.0,5.991462752596988e-07,true,0,0,true,4641522,17179,0,NA,0.4637905,0,0,0,0,0,0,0,0,0,0,arm64,true,true,NA,NA,NA,NA,NA
E5,pooled,native_scalar,SPLIT,double,libstdc++,0.5001,9.999999999998899e-05,5,5000000,359085,4640915,4640915,0,359085,4640915,0,0,0,0,0,0,0.928183,0.9279563472963979,0.9284091566960098,false,0.928183,0.9279563472963979,0.9284091566960098,false,0.0,0.0,5.991462752596988e-07,true,true,0,0.0,0.0,5.991462752596988e-07,true,0,0,true,4640915,17324,0,NA,0.364315,0,0,0,0,0,0,0,0,0,0,arm64,true,true,NA,NA,NA,NA,NA
E5,pooled,native_scalar,LOG,double,libc++,0.501,0.0010000000000000009,5,5000000,3791251,1208749,0,1208749,3791251,0,0,0,0,1208749,0,0,0.2417498,0.2413745722115809,0.24212532687609153,false,0.0,0.0,5.991462752596988e-07,true,0.2417498,0.2413745722115809,0.24212532687609153,false,true,0,0.0,0.0,5.991462752596988e-07,true,0,1208749,false,2375540,0,0,NA,0.653769,0,0,0,0,0,0,0,0,0,0,arm64,true,true,NA,NA,NA,NA,NA
E5,pooled,native_scalar,LOG,double,libstdc++,0.501,0.0010000000000000009,5,5000000,3793553,1206447,0,1206447,3793553,0,0,0,0,1206447,0,0,0.2412894,0.24091441619054887,0.24166468343039,false,0.0,0.0,5.991462752596988e-07,true,0.2412894,0.24091441619054887,0.24166468343039,false,true,0,0.0,0.0,5.991462752596988e-07,true,0,1206447,false,2371610,0,0,NA,0.481914,0,0,0,0,0,0,0,0,0,0,arm64,true,true,NA,NA,NA,NA,NA
E5,pooled,native_scalar,QF,double,libc++,0.501,0.0010000000000000009,5,5000000,2538674,2461326,2461326,0,2538674,2375531,85795,0,0,0,0,0,0.4922652,0.4918268957575251,0.4927035131999306,false,0.4922652,0.4918268957575251,0.4927035131999306,false,0.0,0.0,5.991462752596988e-07,true,true,0,0.0,0.0,5.991462752596988e-07,true,0,0,true,2375531,89107,0,NA,0.533454,0,0,0,0,0,0,0,0,0,0,arm64,true,true,NA,NA,NA,NA,NA
E5,pooled,native_scalar,QF,double,libstdc++,0.501,0.0010000000000000009,5,5000000,2540387,2459613,2459613,0,2540387,2374666,84947,0,0,0,0,0,0.4919226,0.49148430070486415,0.492360908649381,false,0.4919226,0.49148430070486415,0.492360908649381,false,0.0,0.0,5.991462752596988e-07,true,true,0,0.0,0.0,5.991462752596988e-07,true,0,0,true,2374666,88311,0,NA,0.44086400000000003,0,0,0,0,0,0,0,0,0,0,arm64,true,true,NA,NA,NA,NA,NA
E5,pooled,native_scalar,SPLIT,double,libc++,0.501,0.0010000000000000009,5,5000000,2624469,2375531,2375531,0,2624469,2375531,0,0,0,0,0,0,0.4751062,0.4746683967691715,0.4755440320596814,false,0.4751062,0.4746683967691715,0.4755440320596814,false,0.0,0.0,5.991462752596988e-07,true,true,0,0.0,0.0,5.991462752596988e-07,true,0,0,true,2375531,89107,0,NA,0.533556,0,0,0,0,0,0,0,0,0,0,arm64,true,true,NA,NA,NA,NA,NA
E5,pooled,native_scalar,SPLIT,double,libstdc++,0.501,0.0010000000000000009,5,5000000,2625334,2374666,2374666,0,2625334,2374666,0,0,0,0,0,0,0.4749332,0.4744954044547727,0.4753710245744077,false,0.4749332,0.4744954044547727,0.4753710245744077,false,0.0,0.0,5.991462752596988e-07,true,true,0,0.0,0.0,5.991462752596988e-07,true,0,0,true,2374666,88311,0,NA,0.43908400000000003,0,0,0,0,0,0,0,0,0,0,arm64,true,true,NA,NA,NA,NA,NA
E5,pooled,native_scalar,LOG,double,libc++,0.505,0.0050000000000000044,5,5000000,4995896,4104,0,4104,4995896,0,0,0,0,4104,0,0,0.0008208,0.000795887777481859,0.0008462931822062846,false,0.0,0.0,5.991462752596988e-07,true,0.0008208,0.000795887777481859,0.0008462931822062846,false,true,0,0.0,0.0,5.991462752596988e-07,true,0,4104,false,121058,0,0,NA,0.616475,0,0,0,0,0,0,0,0,0,0,arm64,true,true,NA,NA,NA,NA,NA
E5,pooled,native_scalar,LOG,double,libstdc++,0.505,0.0050000000000000044,5,5000000,4995998,4002,0,4002,4995998,0,0,0,0,4002,0,0,0.0008004,0.0007758014421027084,0.0008255795798195712,false,0.0,0.0,5.991462752596988e-07,true,0.0008004,0.0007758014421027084,0.0008255795798195712,false,true,0,0.0,0.0,5.991462752596988e-07,true,0,4002,false,120328,0,0,NA,0.45669,0,0,0,0,0,0,0,0,0,0,arm64,true,true,NA,NA,NA,NA,NA
E5,pooled,native_scalar,QF,double,libc++,0.505,0.0050000000000000044,5,5000000,4855626,144374,144374,0,4855626,121098,23276,0,0,0,0,0,0.0288748,0.028728195108378284,0.02902195081666804,false,0.0288748,0.028728195108378284,0.02902195081666804,false,0.0,0.0,5.991462752596988e-07,true,true,0,0.0,0.0,5.991462752596988e-07,true,0,0,true,121098,24288,0,NA,0.506389,0,0,0,0,0,0,0,0,0,0,arm64,true,true,NA,NA,NA,NA,NA
E5,pooled,native_scalar,QF,double,libstdc++,0.505,0.0050000000000000044,5,5000000,4855368,144632,144632,0,4855368,121373,23259,0,0,0,0,0,0.0289264,0.02877966789222652,0.029073677972600537,false,0.0289264,0.02877966789222652,0.029073677972600537,false,0.0,0.0,5.991462752596988e-07,true,true,0,0.0,0.0,5.991462752596988e-07,true,0,0,true,121373,24287,0,NA,0.402979,0,0,0,0,0,0,0,0,0,0,arm64,true,true,NA,NA,NA,NA,NA
E5,pooled,native_scalar,SPLIT,double,libc++,0.505,0.0050000000000000044,5,5000000,4878902,121098,121098,0,4878902,121098,0,0,0,0,0,0,0.0242196,0.02408502745726065,0.024354723906515992,false,0.0242196,0.02408502745726065,0.024354723906515992,false,0.0,0.0,5.991462752596988e-07,true,true,0,0.0,0.0,5.991462752596988e-07,true,0,0,true,121098,24288,0,NA,0.506106,0,0,0,0,0,0,0,0,0,0,arm64,true,true,NA,NA,NA,NA,NA
E5,pooled,native_scalar,SPLIT,double,libstdc++,0.505,0.0050000000000000044,5,5000000,4878627,121373,121373,0,4878627,121373,0,0,0,0,0,0,0.0242746,0.02413987831511247,0.02440987298432759,false,0.0242746,0.02413987831511247,0.02440987298432759,false,0.0,0.0,5.991462752596988e-07,true,true,0,0.0,0.0,5.991462752596988e-07,true,0,0,true,121373,24287,0,NA,0.403123,0,0,0,0,0,0,0,0,0,0,arm64,true,true,NA,NA,NA,NA,NA
E5,pooled,native_scalar,LOG,double,libc++,0.51,0.010000000000000009,5,5000000,4999994,6,0,6,4999994,0,0,0,0,6,0,0,1.2e-06,4.4037897392089116e-07,2.6118929606437516e-06,false,0.0,0.0,5.991462752596988e-07,true,1.2e-06,4.4037897392089116e-07,2.6118929606437516e-06,false,true,0,0.0,0.0,5.991462752596988e-07,true,0,6,false,2922,0,0,NA,0.616376,0,0,0,0,0,0,0,0,0,0,arm64,true,true,NA,NA,NA,NA,NA
E5,pooled,native_scalar,LOG,double,libstdc++,0.51,0.010000000000000009,5,5000000,5000000,0,0,0,5000000,0,0,0,0,0,0,0,0.0,0.0,5.991462752596988e-07,true,0.0,0.0,5.991462752596988e-07,true,0.0,0.0,5.991462752596988e-07,true,true,0,0.0,0.0,5.991462752596988e-07,true,0,0,true,2808,0,0,NA,0.45614,0,0,0,0,0,0,0,0,0,0,arm64,true,true,NA,NA,NA,NA,NA
E5,pooled,native_scalar,QF,double,libc++,0.51,0.010000000000000009,5,5000000,4995859,4141,4141,0,4995859,2932,1209,0,0,0,0,0,0.0008282,0.0008031749646620459,0.0008538059728040642,false,0.0008282,0.0008031749646620459,0.0008538059728040642,false,0.0,0.0,5.991462752596988e-07,true,true,0,0.0,0.0,5.991462752596988e-07,true,0,0,true,2932,1258,0,NA,0.507687,0,0,0,0,0,0,0,0,0,0,arm64,true,true,NA,NA,NA,NA,NA
