tag,precision,kappa,shape_a,method,p,n_attempted,n_success,target_log_r_quantile,rho_attempt,rho_attempt_lo,rho_attempt_hi,rho_cond,rho_cond_lo,rho_cond_hi,conditional_log_r_quantile,conditional_log_r_quantile_lo,conditional_log_r_quantile_hi,conditional_log_r_quantile_error,quantile_resolved,unconditional_failure_probability,failure_ci_lo,failure_ci_hi,failure_is_upper_bound,bootstrap_resamples,interval_conf,n_seeds
libstdcxx,float,0.55,0.050000011920928955,LOG,0.99,5000000,4999317,46.34998253326348,0.990579999999999,0.9795197999999992,1.0017805999999991,0.9907153317143113,0.9796536206845847,1.001917461925298,46.25067048075995,46.14819559120734,46.36523035943875,-0.09931205250352804,true,0.0001366,0.00012654690465777543,0.00014723925461204,false,10000,0.99,5
libstdcxx,float,0.55,0.050000011920928955,LOG,0.999,5000000,4999317,69.37582797341457,0.8797999999999992,0.8461989999999991,0.914000999999999,0.879920197098923,0.8463146065752575,0.9141258695937855,68.29563562334606,67.95516938743094,68.58359149544627,-1.0801923500685149,true,0.0001366,0.00012654690465777543,0.00014723925461204,false,10000,0.99,5
libstdcxx,float,0.55,0.050000011920928955,LOG,0.9999,5000000,4999317,92.4016734135668,0.0,0.0,0.0,0.0,0.0,0.0,83.78428744750387,83.46423660120149,84.21840168240246,-8.617385966062926,true,0.0001366,0.00012654690465777543,0.00014723925461204,false,10000,0.99,5
libstdcxx,float,0.6,0.10000002384185791,SPLIT,0.99,5000000,4999833,23.31616000246791,1.003479999999999,0.9917396999999991,1.015080299999999,1.0035135173514786,0.9917728252123612,1.01511420481444,23.333279285471892,23.278319676006536,23.390249286720454,0.017119283003982133,true,3.34e-05,2.8526410354949732e-05,3.886740017660143e-05,false,10000,0.99,5
libstdcxx,float,0.6,0.10000002384185791,SPLIT,0.999,5000000,4999833,34.82908272254346,0.9969999999999992,0.9605999999999992,1.0329999999999993,0.9970333009122495,0.9606320851116419,1.033034503352411,34.80752355822911,34.65153573528265,34.97616424773049,-0.021559164314354007,true,3.34e-05,2.8526410354949732e-05,3.886740017660143e-05,false,10000,0.99,5
libstdcxx,float,0.6,0.10000002384185791,SPLIT,0.9999,5000000,4999833,46.34200544261958,0.6220000000000685,0.5340000000000588,0.7140000000000787,0.6220207754939701,0.5340178361957878,0.714023848396615,44.71323505106266,44.389498715853215,45.07176188815115,-1.6287703915569196,true,3.34e-05,2.8526410354949732e-05,3.886740017660143e-05,false,10000,0.99,5
libstdcxx,float,0.6,0.10000002384185791,LOG,0.99,5000000,5000000,23.31616000246791,1.006819999999999,0.9954398999999992,1.018040299999999,1.006819999999999,0.9954398999999992,1.018040299999999,23.34986951683864,23.293438730870164,23.407906775252396,0.033709514370730886,true,0.0,0.0,5.991462752596988e-07,true,10000,0.99,5
libstdcxx,float,0.6,0.10000002384185791,LOG,0.999,5000000,5000000,34.82908272254346,1.0303999999999989,0.9945989999999991,1.067599999999999,1.0303999999999989,0.9945989999999991,1.067599999999999,34.973386450082806,34.80465117727684,35.13797450293099,0.14430372753934506,true,0.0,0.0,5.991462752596988e-07,true,10000,0.99,5
libstdcxx,float,0.6,0.10000002384185791,LOG,0.9999,5000000,5000000,46.34200544261958,0.9560000000001053,0.8480000000000935,1.0680000000001175,0.9560000000001053,0.8480000000000935,1.0680000000001175,46.18030373370234,45.6030473178482,46.73525591416368,-0.16170170891724212,true,0.0,0.0,5.991462752596988e-07,true,10000,0.99,5
libstdcxx,float,0.75,0.25,SPLIT,0.99,5000000,5000000,9.479646273964422,1.001419999999999,0.9899594999999991,1.0129600999999993,1.001419999999999,0.9899594999999991,1.0129600999999993,9.482892524853987,9.459523634795568,9.503719447571793,0.0032462508895658715,true,0.0,0.0,5.991462752596988e-07,true,10000,0.99,5
libstdcxx,float,0.75,0.25,SPLIT,0.999,5000000,5000000,14.08481646403701,1.027799999999999,0.9919989999999992,1.0655999999999992,1.027799999999999,0.9919989999999992,1.0655999999999992,14.145518992504176,14.068531627964262,14.21091681032199,0.06070252846716606,true,0.0,0.0,5.991462752596988e-07,true,10000,0.99,5
