phase,tag,stdlib,arch,execution,layer,scope,method,diagnostic_only,precision,kappa,shape_a,seed,n_attempted,cat_finite,cat_denominator_zero,cat_quotient_first_loss,cat_legacy_form_loss,cat_log_primitive_failure,cat_honest_overflow,cat_cap_reject,cat_cap_exhausted,cat_finite_but_wrong,cat_overflow_returned_finite,n_finite,n_avoidable,n_honest,nonfinite_output,candidate_avoidable_count,accounting_ok,accounting_residual,ref_nonrepresentable,honest_minus_ref,rotation_recoverable,near_limit,x2_zero,x2_subnormal,n_rel_err,mean_rel_err_radius,max_rel_err_radius,max_rel_error_threshold,max_log_r_ref,max_finite_log_component,honest_floor_rate,honest_floor_log10,observed_over_floor,audit_margin_log_units,audit_margin_assertions,audit_margin_assertion_failures,audit_min_unambiguous_margin,audited,seed_homogeneity_chi2,seed_homogeneity_p,cross_phase_native_agrees,protocol_sha256,failure_count,failure_n,failure_rate,failure_ci_lo,failure_ci_hi,failure_interval_kind,failure_is_upper_bound,avoidable_count,avoidable_n,avoidable_rate,avoidable_ci_lo,avoidable_ci_hi,avoidable_interval_kind,avoidable_is_upper_bound,honest_count,honest_n,honest_rate,honest_ci_lo,honest_ci_hi,honest_interval_kind,honest_is_upper_bound,boot_estimate,boot_lo,boot_hi,boot_conf,boot_resamples,boot_rng_seed,boot_kind,boot_n_seeds,boot_n_per_seed,boot_resolved,audit_within_margin_of_a_type_limit_total,audit_within_margin_of_a_type_limit_audited,audit_within_margin_of_a_type_limit_rate,audit_method_disagreement_total,audit_method_disagreement_audited,audit_method_disagreement_rate,audit_finite_but_wrong_candidate_total,audit_finite_but_wrong_candidate_audited,audit_finite_but_wrong_candidate_rate,audit_avoidable_loss_candidate_total,audit_avoidable_loss_candidate_audited,audit_avoidable_loss_candidate_rate,audit_subnormal_or_zero_denominator_representable_target_total,audit_subnormal_or_zero_denominator_representable_target_audited,audit_subnormal_or_zero_denominator_representable_target_rate,audit_unambiguous_failure_beyond_margin_total,audit_unambiguous_failure_beyond_margin_audited,audit_unambiguous_failure_beyond_margin_rate,audit_uniform_sample_total,audit_uniform_sample_audited,audit_uniform_sample_rate
p2,libcxx,libc++,arm64,native,native,seed,CANDIDATE,false,double,0.5001,9.999999999998899e-05,9001,1000000,132573,0,0,0,0,867427,0,0,0,0,132573,0,867427,867427,0,true,0,NA,NA,NA,NA,0,0,0,0.0,0.0,nan,nan,710.4633672939534,0.8676187090640067,-0.061671091563729595,0.9997790399607523,nan,NA,NA,nan,NA,NA,NA,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6,867427,1000000,0.867427,0.8667607871830908,0.8680910838049591,two_sided_clopper_pearson_0.95,false,0,1000000,0.0,0.0,2.9957277863923437e-06,one_sided_upper_0.95,true,867427,1000000,0.867427,0.8667607871830908,0.8680910838049591,two_sided_clopper_pearson_0.95,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan
p2,libcxx,libc++,arm64,native,native,seed,CANDIDATE,false,double,0.5001,9.999999999998899e-05,9002,1000000,132191,0,0,0,0,867809,0,0,0,0,132191,0,867809,867809,0,true,0,NA,NA,NA,NA,0,0,0,0.0,0.0,nan,nan,710.4870721596494,0.8676187090640067,-0.061671091563729595,1.0002193255332157,nan,NA,NA,nan,NA,NA,NA,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6,867809,1000000,0.867809,0.8671435982100234,0.8684722705619737,two_sided_clopper_pearson_0.95,false,0,1000000,0.0,0.0,2.9957277863923437e-06,one_sided_upper_0.95,true,867809,1000000,0.867809,0.8671435982100234,0.8684722705619737,two_sided_clopper_pearson_0.95,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan
p2,libcxx,libc++,arm64,native,native,seed,CANDIDATE,false,double,0.5001,9.999999999998899e-05,9003,1000000,132443,0,0,0,0,867557,0,0,0,0,132443,0,867557,867557,0,true,0,NA,NA,NA,NA,0,0,0,0.0,0.0,nan,nan,710.4714334189798,0.8676187090640067,-0.061671091563729595,0.9999288753649939,nan,NA,NA,nan,NA,NA,NA,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6,867557,1000000,0.867557,0.8668910629808736,0.868220807253024,two_sided_clopper_pearson_0.95,false,0,1000000,0.0,0.0,2.9957277863923437e-06,one_sided_upper_0.95,true,867557,1000000,0.867557,0.8668910629808736,0.868220807253024,two_sided_clopper_pearson_0.95,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan
p2,libcxx,libc++,arm64,native,native,seed,CANDIDATE,false,double,0.5001,9.999999999998899e-05,9004,1000000,132476,0,0,0,0,867524,0,0,0,0,132476,0,867524,867524,0,true,0,NA,NA,NA,NA,0,0,0,0.0,0.0,nan,nan,710.4472631264769,0.8676187090640067,-0.061671091563729595,0.999890840223917,nan,NA,NA,nan,NA,NA,NA,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6,867524,1000000,0.867524,0.8668579929505442,0.8681878774747921,two_sided_clopper_pearson_0.95,false,0,1000000,0.0,0.0,2.9957277863923437e-06,one_sided_upper_0.95,true,867524,1000000,0.867524,0.8668579929505442,0.8681878774747921,two_sided_clopper_pearson_0.95,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan
p2,libcxx,libc++,arm64,native,native,seed,CANDIDATE,false,double,0.5001,9.999999999998899e-05,9005,1000000,132726,0,0,0,0,867274,0,0,0,0,132726,0,867274,867274,0,true,0,NA,NA,NA,NA,0,0,0,0.0,0.0,nan,nan,710.6098474983095,0.8676187090640067,-0.061671091563729595,0.9996026952157606,nan,NA,NA,nan,NA,NA,NA,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6,867274,1000000,0.867274,0.8666074628623146,0.8679384090133093,two_sided_clopper_pearson_0.95,false,0,1000000,0.0,0.0,2.9957277863923437e-06,one_sided_upper_0.95,true,867274,1000000,0.867274,0.8666074628623146,0.8679384090133093,two_sided_clopper_pearson_0.95,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan
p2,libcxx,libc++,arm64,native,native,seed,CANDIDATE,false,double,0.501,0.0010000000000000009,9001,1000000,758409,0,0,0,0,241591,0,0,0,0,758409,0,241591,241591,0,true,0,NA,NA,NA,NA,0,0,0,0.0,0.0,nan,nan,710.5420893596904,0.2417072840120317,-0.616710261638004,0.999518905636183,nan,NA,NA,nan,NA,NA,NA,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6,241591,1000000,0.241591,0.24075229135027978,0.24243120565978932,two_sided_clopper_pearson_0.95,false,0,1000000,0.0,0.0,2.9957277863923437e-06,one_sided_upper_0.95,true,241591,1000000,0.241591,0.24075229135027978,0.24243120565978932,two_sided_clopper_pearson_0.95,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan
p2,libcxx,libc++,arm64,native,native,seed,CANDIDATE,false,double,0.501,0.0010000000000000009,9002,1000000,758901,0,0,0,0,241099,0,0,0,0,758901,0,241099,241099,0,true,0,NA,NA,NA,NA,0,0,0,0.0,0.0,nan,nan,710.616405049759,0.2417072840120317,-0.616710261638004,0.9974833856806673,nan,NA,NA,nan,NA,NA,NA,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6,241099,1000000,0.241099,0.24026087567260318,0.24193862418854095,two_sided_clopper_pearson_0.95,false,0,1000000,0.0,0.0,2.9957277863923437e-06,one_sided_upper_0.95,true,241099,1000000,0.241099,0.24026087567260318,0.24193862418854095,two_sided_clopper_pearson_0.95,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan
p2,libcxx,libc++,arm64,native,native,seed,CANDIDATE,false,double,0.501,0.0010000000000000009,9003,1000000,758595,0,0,0,0,241405,0,0,0,0,758595,0,241405,241405,0,true,0,NA,NA,NA,NA,0,0,0,0.0,0.0,nan,nan,710.559918130813,0.2417072840120317,-0.616710261638004,0.9987493797993418,nan,NA,NA,nan,NA,NA,NA,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6,241405,1000000,0.241405,0.2405665120746523,0.24224498601326003,two_sided_clopper_pearson_0.95,false,0,1000000,0.0,0.0,2.9957277863923437e-06,one_sided_upper_0.95,true,241405,1000000,0.241405,0.2405665120746523,0.24224498601326003,two_sided_clopper_pearson_0.95,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan
p2,libcxx,libc++,arm64,native,native,seed,CANDIDATE,false,double,0.501,0.0010000000000000009,9004,1000000,758749,0,0,0,0,241251,0,0,0,0,758749,0,241251,241251,0,true,0,NA,NA,NA,NA,0,0,0,0.0,0.0,nan,nan,710.583737104312,0.2417072840120317,-0.616710261638004,0.9981122455043225,nan,NA,NA,nan,NA,NA,NA,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6,241251,1000000,0.241251,0.24041269498862497,0.24209080399168906,two_sided_clopper_pearson_0.95,false,0,1000000,0.0,0.0,2.9957277863923437e-06,one_sided_upper_0.95,true,241251,1000000,0.241251,0.24041269498862497,0.24209080399168906,two_sided_clopper_pearson_0.95,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan
p2,libcxx,libc++,arm64,native,native,seed,CANDIDATE,false,double,0.501,0.0010000000000000009,9005,1000000,757928,0,0,0,0,242072,0,0,0,0,757928,0,242072,242072,0,true,0,NA,NA,NA,NA,0,0,0,0.0,0.0,nan,nan,710.4996704762078,0.2417072840120317,-0.616710261638004,1.0015089159991974,nan,NA,NA,nan,NA,NA,NA,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6,242072,1000000,0.242072,0.24123272155407002,0.24291277266868036,two_sided_clopper_pearson_0.95,false,0,1000000,0.0,0.0,2.9957277863923437e-06,one_sided_upper_0.95,true,242072,1000000,0.242072,0.24123272155407002,0.24291277266868036,two_sided_clopper_pearson_0.95,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan
