scope,tag,stdlib,arch,case,method,precision,kappa,cap,block,slot,candidate_first,seed,n_returned,n_finite,n_nonfinite,attempts_reported,seconds,seconds_per_returned,ratio_candidate_over_legacy,ratio_lo,ratio_hi,ratio_conf,boot_kind,boot_resamples,boot_rng_seed,boot_n_seeds,pre_registered_bound,repeat_identical,protocol_sha256
block,libcxx,libc++,arm64,B0,LEGACY,double,0.51,NA,8,0,false,9009,20184292,20172483,11809,0,1.8851715,9.339795024764802e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B0,CANDIDATE,double,0.51,NA,9,1,false,9010,26935303,26935276,27,26935303,2.11643354,7.857470703039798e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B0,LEGACY,double,0.51,NA,9,0,false,9010,20184292,20172249,12043,0,1.85825292,9.206431000899116e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B1,CANDIDATE,float,0.55,NA,0,0,true,9006,35199143,35194308,4835,35199143,2.27913967,6.474986240432047e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B1,LEGACY,float,0.55,NA,0,1,true,9006,31098329,30921910,176419,0,2.29285146,7.372908875586209e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B1,CANDIDATE,float,0.55,NA,1,1,false,9007,35199143,35194272,4871,35199143,2.27660375,6.467781758209284e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B1,LEGACY,float,0.55,NA,1,0,false,9007,31098329,30922189,176140,0,2.28995554,7.363596741805644e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B1,CANDIDATE,float,0.55,NA,2,0,true,9008,35199143,35194251,4892,35199143,2.27374221,6.45965217959994e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B1,LEGACY,float,0.55,NA,2,1,true,9008,31098329,30921849,176480,0,2.28196229,7.337893595504761e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B1,CANDIDATE,float,0.55,NA,3,0,true,9009,35199143,35194244,4899,35199143,2.27812087,6.472091877350536e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B1,LEGACY,float,0.55,NA,3,1,true,9009,31098329,30921585,176744,0,2.28018296,7.332171960107566e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B1,CANDIDATE,float,0.55,NA,4,0,true,9010,35199143,35194315,4828,35199143,2.27407717,6.460603790836613e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B1,LEGACY,float,0.55,NA,4,1,true,9010,31098329,30922027,176302,0,2.30267088,7.404484257015868e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B1,CANDIDATE,float,0.55,NA,5,1,false,9006,35199143,35194308,4835,35199143,2.27811033,6.47206192775773e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B1,LEGACY,float,0.55,NA,5,0,false,9006,31098329,30921910,176419,0,2.28503979,7.347789622394181e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
