stratum,declared_rate,attempts_in_stratum,attempts_audited,achieved_rate,meets_declared_rate,phases,protocol_sha256
within_margin_of_a_type_limit,1.0,4270684,4270684,1.0,true,p2+p3,914c5d1d2b6900d872402a545f46a99819038987416d1b882909eb4ca2bafa48
method_disagreement,1.0,9749972,9749972,1.0,true,p2+p3,914c5d1d2b6900d872402a545f46a99819038987416d1b882909eb4ca2bafa48
finite_but_wrong_candidate,1.0,0,0,nan,NA,p2+p3,914c5d1d2b6900d872402a545f46a99819038987416d1b882909eb4ca2bafa48
avoidable_loss_candidate,1.0,0,0,nan,NA,p2+p3,914c5d1d2b6900d872402a545f46a99819038987416d1b882909eb4ca2bafa48
subnormal_or_zero_denominator_representable_target,1.0,150590,150590,1.0,true,p2+p3,914c5d1d2b6900d872402a545f46a99819038987416d1b882909eb4ca2bafa48
unambiguous_failure_beyond_margin,0.001,35633702,35698,0.0010018044153818203,true,p2+p3,914c5d1d2b6900d872402a545f46a99819038987416d1b882909eb4ca2bafa48
uniform_sample,0.0001,280195052,28076,0.00010020162668682671,true,p2+p3,914c5d1d2b6900d872402a545f46a99819038987416d1b882909eb4ca2bafa48
