kind,label,arch,os,stdlib,compiler,tag,execution,available,completed,reason_not_run,n_rows,prediction,n_common,n_digests_compared,n_differences,identical,log_ratio,se,margin,p_value,equivalent,disagrees,informative,in_decision,protocol_sha256
cross_stdlib_bitwise,arm64: libcxx vs libstdcxx [CANDIDATE],arm64,NA,libc++ vs libstdc++,clang 21.0.0 (clang-2100.3.34.2) vs gcc 15.2.0,libcxx|libstdcxx,native,true,true,NA,130,bitwise equality,130,130,0,true,NA,NA,NA,NA,NA,NA,NA,true,7d6e05fbbf3cd9f864b265ffa6122b0ea4fd88757752dbc00ba634762d91b76b
cross_stdlib_bitwise,arm64: libcxx vs libstdcxx [LEGACY],arm64,NA,libc++ vs libstdc++,clang 21.0.0 (clang-2100.3.34.2) vs gcc 15.2.0,libcxx|libstdcxx,native,true,true,NA,130,difference expected: the 1.0.0 form draws its Gamma from the standard library,130,130,130,false,NA,NA,NA,NA,NA,NA,NA,false,7d6e05fbbf3cd9f864b265ffa6122b0ea4fd88757752dbc00ba634762d91b76b
environment,arm64/libcxx,arm64,NA,libc++,clang 21.0.0 (clang-2100.3.34.2),libcxx,native,true,true,NA,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,7d6e05fbbf3cd9f864b265ffa6122b0ea4fd88757752dbc00ba634762d91b76b
environment,arm64/libstdcxx,arm64,NA,libstdc++,gcc 15.2.0,libstdcxx,native,true,true,NA,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,7d6e05fbbf3cd9f864b265ffa6122b0ea4fd88757752dbc00ba634762d91b76b
environment,linux-x86_64/libcxx,x86_64,ubuntu-latest,libcxx,NA,libcxx,NA,false,false,"this host provides neither that architecture nor that standard library; the exact command is in results/portability_remote.md, and the CI workflow .github/workflows/portability.yml runs it",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,7d6e05fbbf3cd9f864b265ffa6122b0ea4fd88757752dbc00ba634762d91b76b
environment,linux-x86_64/libstdcxx,x86_64,ubuntu-latest,libstdcxx,NA,libstdcxx,NA,false,false,"this host provides neither that architecture nor that standard library; the exact command is in results/portability_remote.md, and the CI workflow .github/workflows/portability.yml runs it",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,7d6e05fbbf3cd9f864b265ffa6122b0ea4fd88757752dbc00ba634762d91b76b
